moment_id,set_id,play_id,serialNumber
623896,2,22,2820
624303,2,46,2812
624331,2,52,2818
624416,2,107,2826
656085,2,180,1663
697590,2,179,1791
561083,2,167,1621
690193,2,107,3019
560603,2,228,1749
547589,2,93,2467
573286,2,90,2534
582744,2,138,2574
565719,2,180,1277
571979,2,124,2577
720313,2,180,1849
583041,2,107,2564
584960,2,24,2599
719530,2,130,3090
745530,2,183,1989
745548,2,183,2007
755922,2,228,2569
735912,2,56,3173
724750,2,149,3159
745097,2,183,1909
736870,2,175,1965
738437,2,24,3292
746265,2,216,2669
725111,2,129,3164
730284,2,141,3164
739691,2,51,3326
742241,2,42,3243
739037,2,105,3249
739134,2,64,3246
574026,2,65,2552
578912,2,195,1268
570989,2,43,2551
578978,2,180,1332
572834,2,24,2548
579912,2,22,2544
582125,2,135,2587
578575,2,167,1694
582866,2,175,1344
809336,2,228,2613
798484,2,28,3346
747877,2,216,2744
801265,2,83,3504
813441,2,46,3496
752287,2,195,1864
750477,2,228,2471
813038,2,46,3443
814873,2,85,3387
755914,2,228,2561
888517,26,396,1743
903033,26,396,2134
741423,2,87,3205
798133,2,167,2546
824899,2,93,3472
730060,2,167,2310
824004,2,42,3402
808390,2,175,2172
783237,2,293,400
808035,2,246,1879
805276,2,73,3415
805244,2,73,3383
820300,2,180,2241
730322,2,141,3202
821748,2,79,3437
796479,2,183,2127
738722,2,91,3270
821807,2,79,3496
729292,2,42,3187
810047,2,87,3476
802094,2,91,3403
800158,2,167,2619
819631,2,206,2905
820018,2,121,3505
741555,2,58,3241
824072,2,42,3470
815971,2,79,3382
756084,2,195,1910
728405,2,64,3211
807305,2,185,2162
814159,2,300,777
823330,2,81,3414
800108,2,139,3352
755904,2,228,2551
730069,2,167,2319
808611,2,124,3338
799776,2,43,3350
799571,2,83,3381
802075,2,91,3384
813025,2,46,3430
738430,2,24,3285
755854,2,228,2501
747919,2,216,2786
805775,2,206,2876
810150,2,176,2157
728538,2,93,3323
813777,2,28,3457
806694,2,98,3433
798865,2,58,3386
823922,2,129,3490
798171,2,167,2584
817469,2,182,2246
811122,2,135,3451
816568,2,42,3360
817408,2,182,2185
812714,2,130,3393
806680,2,98,3419
732790,2,46,3234
793047,2,173,2577
821781,2,79,3470
815485,2,124,3443
763553,2,205,2811
730188,2,176,2042
798128,2,167,2541
817446,2,182,2223
755942,2,228,2589
726012,2,77,3232
796506,2,183,2154
815498,2,124,3456
806705,2,98,3444
747896,2,216,2763
787241,2,297,600
807963,2,182,2131
815355,2,24,3496
955259,2,177,2302
953907,2,58,3554
960946,2,185,2203
960374,2,180,2317
961089,2,205,3040
953548,2,61,3570
951034,2,228,2797
950214,2,130,3526
951887,2,22,3550
961437,2,81,3584
961283,2,129,3575
951866,2,22,3529
956469,2,182,2312
956453,2,182,2296
953537,2,61,3559
956200,2,91,3523
956484,2,182,2327
951763,2,135,3578
961088,2,205,3039
954896,2,246,2051
961405,2,81,3552
951703,2,135,3518
959155,2,176,2298
951130,2,121,3544
960267,2,183,2291
958593,2,173,2736
956445,2,182,2288
961449,2,81,3596
955232,2,177,2275
950210,2,130,3522
958599,2,173,2742
961231,2,129,3523
960327,2,180,2270
959185,2,176,2328
954859,2,246,2014
957834,2,138,3581
952498,2,43,3565
953741,2,116,3538
960968,2,185,2225
953912,2,58,3559
958117,2,64,3563
953540,2,61,3562
950623,2,79,3564
950467,2,216,3070
956470,2,182,2313
952450,2,43,3517
951119,2,121,3533
960976,2,185,2233
960316,2,183,2340
950248,2,130,3560
958534,2,173,2677
951137,2,121,3551
955756,2,46,3519
950458,2,216,3061
954666,2,83,3558
950241,2,130,3553
950426,2,216,3029
961077,2,205,3028
950465,2,216,3068
952460,2,43,3527
950814,2,28,3527
951867,2,22,3530
952476,2,43,3543
961292,2,129,3584
951127,2,121,3541
958552,2,173,2695
951710,2,135,3525
950252,2,130,3564
958553,2,173,2696
956456,2,182,2299
950297,2,42,3544
950222,2,130,3534
960389,2,180,2332
951063,2,228,2826
951138,2,121,3552
951125,2,121,3539
953772,2,116,3569
951713,2,135,3528
958095,2,64,3541
953502,2,61,3524
958145,2,64,3591
954638,2,83,3530
961257,2,129,3549
955299,2,177,2342
951737,2,135,3552
952453,2,43,3520
960365,2,180,2308
958273,2,195,2243
960963,2,185,2220
955623,2,93,3545
950205,2,130,3517
955238,2,177,2281
958094,2,64,3540
952830,2,85,3527
961226,2,129,3518
954907,2,246,2062
959198,2,176,2341
954657,2,83,3549
960990,2,185,2247
953876,2,58,3523
950631,2,79,3572
960313,2,183,2337
953569,2,61,3591
961394,2,81,3541
960996,2,185,2253
960934,2,185,2191
951855,2,22,3518
